Mean Variance AutoCorreDistance
1.200093 0.081919 1.401800
1.065444 0.110293 1.422539
1.197813 0.141805 1.422539
1.014372 0.148257 1.422539
1.188061 0.110199 1.422539
0.995671 0.256285 1.422539
1.174303 0.121214 1.422539
0.972245 0.112933 1.422539
1.081019 0.092922 1.422539
0.957712 0.080134 1.422539
1.098408 0.088518 1.422539
0.921846 0.105270 1.422539
1.047264 0.121406 1.422539
0.761885 0.143237 1.422539
0.978173 0.081325 1.600630
0.967474 0.128314 1.600630
1.104774 0.167841 1.600630
1.080903 0.125097 1.600630
1.311314 0.124406 1.600630
1.086541 0.068815 1.600630
0.957415 0.095822 1.600630
1.077627 0.065952 2.108297
0.979066 0.122809 0.627001
1.094225 0.136274 0.627001
0.955638 0.144595 0.627001
1.082663 0.142443 0.627001
0.926258 0.240014 0.627001
1.268331 0.127626 0.627001
0.923300 0.643842 1.885586
1.117445 0.101648 1.402390
0.917249 0.069088 5.912042
1.116964 0.106057 5.912042
0.888539 0.116684 0.260140
1.168093 0.112829 0.260140
1.000014 0.083537 0.260140
1.185236 0.211091 0.260140
1.015177 0.158196 0.260140
1.255158 0.291967 0.260140
1.412486 0.261030 0.260140
1.304831 0.139427 0.260140
0.893899 0.176504 0.260140
1.239603 0.116691 0.260140
1.033668 0.073571 0.260140
1.155339 0.242824 0.260140
0.987949 0.132928 0.260140
1.141227 0.097073 0.260140
0.996732 0.179391 0.081178
1.198036 0.117723 0.081178
0.955523 0.145669 0.081178
1.223201 0.119684 0.081178
0.880926 0.136997 0.081178
0.942912 0.099632 0.081178
0.740595 0.178634 0.081178
0.871014 0.120146 0.081178
1.045082 0.071676 0.081178
1.083181 0.083889 0.081178
1.092466 0.178244 0.081178
0.957483 0.162876 0.081178
1.108789 0.317229 0.081178
1.028049 0.122161 0.081178
1.101093 0.094251 0.081178
1.000768 0.098891 0.081178
1.090979 0.086390 0.081178
0.977474 0.084308 0.081178
1.073588 0.166291 0.081178
0.921509 0.144040 0.096268
1.092029 0.094215 0.719591
0.945388 0.212026 0.719591
1.122525 0.140243 0.719591
0.937844 0.166090 0.719591
1.155804 0.125543 0.719591
0.972071 0.107123 0.719591
1.176110 0.063723 0.586368
1.024260 0.110823 0.586368
1.215745 0.086358 0.586368
1.045069 0.225881 0.586368
1.296778 0.171095 0.586368
1.003691 0.344350 0.586368
1.326387 0.201085 0.586368
1.031619 0.232247 0.586368
1.242201 0.139856 0.679322
1.007621 0.047768 0.679322
1.121651 0.105372 0.679322
0.992535 0.072384 0.679322
1.099735 0.089551 0.679322
0.971332 0.115701 0.679322
1.060774 0.066644 0.679322
0.943881 0.131650 0.679322
1.004666 0.141648 0.679322
